bucket,s3_image,category,label,local_image
nir-presto,dogs_vs_cats/dog/dog.0.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.0.jpg
nir-presto,dogs_vs_cats/dog/dog.1.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.1.jpg
nir-presto,dogs_vs_cats/dog/dog.10.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10.jpg
nir-presto,dogs_vs_cats/dog/dog.100.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.100.jpg
nir-presto,dogs_vs_cats/dog/dog.1000.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.1000.jpg
nir-presto,dogs_vs_cats/dog/dog.10000.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10000.jpg
nir-presto,dogs_vs_cats/dog/dog.10001.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10001.jpg
nir-presto,dogs_vs_cats/dog/dog.10002.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10002.jpg
nir-presto,dogs_vs_cats/dog/dog.10003.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10003.jpg
nir-presto,dogs_vs_cats/dog/dog.10004.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10004.jpg
nir-presto,dogs_vs_cats/dog/dog.10005.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10005.jpg
nir-presto,dogs_vs_cats/dog/dog.10006.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10006.jpg
nir-presto,dogs_vs_cats/dog/dog.10007.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10007.jpg
nir-presto,dogs_vs_cats/dog/dog.10008.jpg,dog,1,/v3io/bigdata/dogs_vs_cats_sample/dog/dog.10008.jpg
